Nepali_Audio,Nepali_Script,English_Script,English_Audio
pb_nep_voice1.wav,नमस्ते सबैलाई आज हामी अन्नपूर्ण आधार शिविरतर्फको यात्रा सुरु गर्दैछौं यो एकदम रोमाञ्चक यात्रा हुनेछ,hi everyone today were starting our trip to annapurna base camp its going to be an amazing adventure,pb_eng_voice1.wav
pb_nep_voice2.wav,मलाई हिमालहरू हेर्न र ताजा पहाडी हावा सास फेर्न धैर्य छैन यो त सपना पूरा भएजस्तो लाग्दैछ,i cant wait to see the mountains and breathe in the fresh mountain air its like a dream come true,pb_eng_voice2.wav
pb_nep_voice3.wav,तर आज मौसम अलि बादल लागेको छ मलाई डर छ कि हामी हिमालका चुचुराहरूको दृश्य छुटाउँछौं कि,unfortunately the weather looks a bit cloudy today i hope we wont miss the view of the peaks,pb_eng_voice3.wav
pb_nep_voice4.wav,बाटो हिलो हुँदा निकै झर्को लाग्छ यसले हामीलाई ढिलो गराउँछ र यात्रा गाह्रो बनाउँछ,its really frustrating when the path gets muddy it slows us down and makes trekking difficult,pb_eng_voice4.wav
pb_nep_voice5.wav,यी झिँगा सबै ठाउँमा छन् म यीलाई सहनै सक्दिन कहिलेकाहीँ यिनले यात्रा नै बर्बाद गर्छन्,ugh these flies are everywhere i just cant stand them they ruin the experience sometimes,pb_eng_voice5.wav
pb_nep_voice6.wav,यो बाटो अलि खतरनाक जस्तो देखिन्छ म अलिकति डराएको छु तर हामी बिस्तारै अघि बढ्नै पर्छ,this part of the trail looks a bit risky im a little scared but we must keep going carefully,pb_eng_voice6.wav
pb_nep_voice7.wav,वाह त्यो अद्भुत दृश्य हेर्नुहोस् मैले यति स्पष्ट रूपमा हिमाल देख्न पाउँछु भनेर सोचेको थिइनँ,wow look at that stunning view i wasnt expecting to see the mountains this clearly,pb_eng_voice7.wav
pb_nep_voice8.wav,हामी अन्नपूर्ण आधार शिविर नजिक हुँदैछौं तर चिसो हावाले धेरै सताइरहेको छ यसले यात्रा अझै कठिन बनाइरहेको छ,were getting closer to annapurna base camp but the cold wind is really biting its making the journey tougher,pb_eng_voice8.wav
pb_nep_voice9.wav,तपाईं सबैसँग यो यात्रा गरिरहँदा म निकै खुशी छु दृश्यहरू शान्तिसबै एकदमै मूल्यवान छन्,im so happy to be on this journey with you the views the peaceits really worth it,pb_eng_voice9.wav
pb_nep_voice10.wav,हामी अन्ततः अन्नपूर्ण आधार शिविरमा पुग्यौं यो अद्भुत अनुभव हो जस्तो लाग्छ कि हामीले ठुलो कुरा हासिल गर्यौं,we finally made it to annapurna base camp the feeling is incredible like weve achieved something great,pb_eng_voice10.wav
