nepali_audio,english_text,english_audio
./audio/PRB_Nep_01_Bhojpur_01.wav,Hello friends Today we are embarking on a journey to Bhojpur District,./audio/PRB_Eng_01_Bhojpur_01.wav
./audio/PRB_Nep_01_Bhojpur_02.wav,This district is located in Province No 1 of Nepal and it holds its own special significance,./audio/PRB_Eng_01_Bhojpur_02.wav
./audio/PRB_Nep_01_Bhojpur_03.wav,The natural beauty of Bhojpur is captivating us right from the start,./audio/PRB_Eng_01_Bhojpur_03.wav
./audio/PRB_Nep_01_Bhojpur_04.wav,We plan to visit some of the famous temples here,./audio/PRB_Eng_01_Bhojpur_04.wav
./audio/PRB_Nep_01_Bhojpur_05.wav,Our first stop an ancient temple in Bhojpur The peaceful atmosphere here is calming my mind,./audio/PRB_Eng_01_Bhojpur_05.wav
./audio/PRB_Nep_01_Bhojpur_06.wav,I am deeply impressed by the rich history of this temple,./audio/PRB_Eng_01_Bhojpur_06.wav
./audio/PRB_Nep_01_Bhojpur_07.wav,The culture and traditions of Bhojpur are quite unique,./audio/PRB_Eng_01_Bhojpur_07.wav
./audio/PRB_Nep_01_Bhojpur_08.wav,People here are very proud of their language and culture,./audio/PRB_Eng_01_Bhojpur_08.wav
./audio/PRB_Nep_01_Bhojpur_09.wav,Now we are heading towards Bhojpur market where we can find local products,./audio/PRB_Eng_01_Bhojpur_09.wav
./audio/PRB_Nep_01_Bhojpur_10.wav,Handicrafts from Bhojpur are very popular in this market,./audio/PRB_Eng_01_Bhojpur_10.wav
./audio/PRB_Nep_01_Jhapa_01.wav,Welcome to Jhapa a district of stunning landscapes rich culture and heartwarming people ,./audio/PRB_Eng_01_Jhapa_01.wav
./audio/PRB_Nep_01_Jhapa_02.wav,A place where every corner tells a story and every story feels like home,./audio/PRB_Eng_01_Jhapa_02.wav
./audio/PRB_Nep_01_Jhapa_03.wav,Birtamod the heart of Jhapa is where modernity meets tradition ,./audio/PRB_Eng_01_Jhapa_03.wav
./audio/PRB_Nep_01_Jhapa_04.wav,The bustling streets are alive with energy,./audio/PRB_Eng_01_Jhapa_04.wav
./audio/PRB_Nep_01_Jhapa_05.wav,The people will make you feel like you're part of the family,./audio/PRB_Eng_01_Jhapa_05.wav
./audio/PRB_Nep_01_Jhapa_06.wav,You must try the food here such as spicy momos and selroti ,./audio/PRB_Eng_01_Jhapa_06.wav
./audio/PRB_Nep_01_Jhapa_07.wav,"Local flavors that will explode in your mouth""",./audio/PRB_Eng_01_Jhapa_07.wav
./audio/PRB_Nep_01_Jhapa_08.wav,The Kankai River flows gently carrying centuries of stories ,./audio/PRB_Eng_01_Jhapa_08.wav
./audio/PRB_Nep_01_Jhapa_09.wav,People come here for spiritual cleansing and it feels like the river washes away all your worries,./audio/PRB_Eng_01_Jhapa_09.wav
./audio/PRB_Nep_01_Jhapa_10.wav,But sadly the river is also a reminder of how climate change is affecting our natural resources,./audio/PRB_Eng_01_Jhapa_10.wav
./audio/PRB_Nep_01_Jhapa_11.wav,We must protect it,./audio/PRB_Eng_01_Jhapa_11.wav
./audio/PRB_Nep_01_Jhapa_12.wav,The sacred Arjundhara Temple also known as the Pashupatinath of the east This place is truly magical,./audio/PRB_Eng_01_Jhapa_12.wav
./audio/PRB_Nep_01_Jhapa_13.wav,The energy the prayers the offerings it all makes you feel connected to something greater,./audio/PRB_Eng_01_Jhapa_13.wav
./audio/PRB_Nep_01_Jhapa_14.wav,I must say walking around the temple at night gives you goosebumps,./audio/PRB_Eng_01_Jhapa_14.wav
./audio/PRB_Nep_01_Jhapa_15.wav,There's an eerie silence but its peaceful at the same time,./audio/PRB_Eng_01_Jhapa_15.wav
./audio/PRB_Nep_01_Jhapa_16.wav,Dhulabari is the shoppers paradise,./audio/PRB_Eng_01_Jhapa_16.wav
./audio/PRB_Nep_01_Jhapa_17.wav,Whether its clothes electronics or spices this market has it all And the bargaining? its a skill you'll need,./audio/PRB_Eng_01_Jhapa_17.wav
./audio/PRB_Nep_01_Jhapa_18.wav,But beware sometimes the prices can get ridiculously high for tourists Dont get ripped off,./audio/PRB_Eng_01_Jhapa_18.wav
./audio/PRB_Nep_01_Jhapa_19.wav,Gauradaha known for its beautiful wetlands Migratory birds from all over the world come here,./audio/PRB_Eng_01_Jhapa_19.wav
./audio/PRB_Nep_01_Jhapa_20.wav,Watching them feels like a dance between earth and sky,./audio/PRB_Eng_01_Jhapa_20.wav
./audio/PRB_Nep_01_Jhapa_21.wav,Sadly the littering around this place is quite disturbing ,./audio/PRB_Eng_01_Jhapa_21.wav
./audio/PRB_Nep_01_Jhapa_22.wav,We need to keep these wetlands clean or well lose this beauty forever,./audio/PRB_Eng_01_Jhapa_22.wav
./audio/PRB_Nep_01_Jhapa_23.wav,Satashidham a hidden gem tucked away from the busy streets ,./audio/PRB_Eng_01_Jhapa_23.wav
